"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.365424999E-2,-9.751781613E-2,7.666348761E-1,-9.125006872E-1,1.195782698E0
3.359025001E-2,-5.956675529E-2,8.469569081E-1,-7.789380026E-1,1.152227675E0
4.352524999E-2,-5.971965998E-2,8.971084768E-1,-7.359709078E-1,1.161905002E0
5.346125001E-2,-2.774650007E-2,8.926938289E-1,-7.421309495E-1,1.161219396E0
6.339625001E-2,-2.396159738E-2,7.931479061E-1,-5.886520636E-1,9.880126573E-1
7.333225000E-2,-1.324400192E-1,6.120058429E-1,-3.712976092E-1,7.279790004E-1
8.326725001E-2,1.516884685E-2,6.044757986E-1,-5.340379000E-2,6.070198101E-1
9.320325000E-2,1.789464337E-1,5.847645423E-1,2.458040822E-1,6.590834870E-1
1.031392500E-1,2.086853725E-1,2.422349417E-1,2.465700674E-1,4.037624918E-1
1.130742500E-1,3.370168456E-1,-5.128388196E-2,2.450252330E-1,4.198187176E-1
1.230102500E-1,4.877498791E-1,-1.630323592E-1,7.699555099E-2,5.200075091E-1
1.329452500E-1,5.780422908E-1,-2.121434158E-1,-2.754886419E-1,6.745603832E-1
1.428812500E-1,4.619972795E-1,-1.554938364E-1,-4.322852379E-1,6.515292368E-1
1.528172500E-1,3.676457307E-1,-2.729948044E-2,-4.621510613E-1,5.911786941E-1
1.627522500E-1,4.653506577E-1,-1.762637311E-1,-7.140339088E-1,8.703243996E-1
1.726882500E-1,2.422820118E-1,5.247671396E-2,-9.029024827E-1,9.363157972E-1
1.826232500E-1,4.862076759E-2,5.377874270E-1,-9.157967627E-1,1.063138282E0
1.925592500E-1,2.966026452E-1,7.019459599E-1,-9.291377699E-1,1.201664785E0
2.024942500E-1,4.323340622E-1,7.345956427E-1,-7.803834343E-1,1.155656439E0
2.124302500E-1,3.173678622E-1,7.489876869E-1,-4.718077379E-1,9.403762315E-1
2.223662500E-1,2.915041655E-1,7.466452923E-1,-1.816618806E-1,8.218606390E-1
2.323012500E-1,2.991920847E-1,5.773575819E-1,1.576818645E-1,6.691197585E-1
2.422372500E-1,2.538159370E-2,3.197910945E-1,4.857551014E-1,5.821242032E-1
2.521722500E-1,-4.635716423E-1,2.690922265E-1,7.321702176E-1,9.074042768E-1
2.621082500E-1,-7.536765692E-1,2.551955876E-1,8.528900778E-1,1.166436729E0
2.720442500E-1,-5.333754104E-1,1.406644204E-1,8.187897009E-1,9.872651021E-1
2.819792500E-1,1.745412876E-1,-1.576163757E-1,4.915075922E-1,5.448736515E-1
2.919152500E-1,1.006051460E0,-5.810711485E-1,1.906174761E-1,1.177335229E0
3.018502500E-1,1.467697906E0,-9.330763082E-1,4.134624660E-2,1.739677572E0
3.117862500E-1,1.647231401E0,-9.378922212E-1,-1.849988866E-1,1.904530833E0
3.217212500E-1,1.718299044E0,-4.233100542E-1,-4.105201471E-1,1.816664471E0
3.316572500E-1,1.389243183E0,5.357107884E-1,-5.365867013E-1,1.582690102E0
3.415932500E-1,3.760107574E-1,1.059831226E0,6.340592015E-1,1.290990855E0
3.515282500E-1,5.420674427E-1,4.668319036E-1,2.815644836E-1,7.687962650E-1
3.614642500E-1,1.211559894E0,1.092113703E-2,5.908576334E-1,1.348002000E0
3.713992500E-1,1.260616279E0,-3.618651733E-1,7.430776137E-1,1.507403114E0
3.813352500E-1,1.295235450E0,5.857038975E-2,2.715680838E-1,1.324694148E0
3.912702500E-1,1.403593273E0,6.944439822E-1,-1.367488325E-1,1.571949988E0
4.012062500E-1,1.538865830E0,9.607296914E-1,-1.632577693E-1,1.821472668E0
4.111422500E-1,1.917338119E0,1.147605680E0,6.482521480E-1,2.326674689E0
4.210772500E-1,2.238969332E0,1.239567618E0,1.787641760E0,3.121726223E0
4.310132500E-1,2.183066881E0,8.506790994E-1,2.558372025E0,3.469106997E0
4.409482500E-1,2.284761948E0,6.690572722E-1,3.133988891E0,3.935690684E0
4.508842500E-1,2.045761247E0,5.481982483E-1,3.196181046E0,3.834218784E0
4.608192500E-1,1.429332570E0,-1.921161175E-1,2.436562829E0,2.831384576E0
4.707552500E-1,1.098475913E0,-2.267708105E-1,1.207754672E0,1.648255344E0
4.806912500E-1,1.276360492E0,5.579038954E-1,6.340615404E-1,1.530485838E0
4.906262500E-1,1.313038468E0,1.291731068E0,8.882745034E-1,2.044913388E0
5.005622500E-1,1.963214204E0,1.945175689E0,1.345822052E0,3.073947863E0
5.104972500E-1,2.519234272E0,2.297654766E0,1.695201958E0,3.807816752E0
5.204332500E-1,2.235412032E0,1.971262457E0,2.301036065E0,3.765329946E0
5.303692500E-1,1.464355930E0,1.392843314E0,2.969145357E0,3.591681353E0
5.403042500E-1,4.256118107E-1,1.030591347E0,3.274145481E0,3.458799296E0
5.502402500E-1,-4.015635649E-1,5.889432549E-1,3.344826039E0,3.419936942E0
5.601752500E-1,-6.969512683E-1,5.786138561E-1,3.700099354E0,3.809366127E0
5.701112500E-1,-1.125375370E0,7.855032563E-1,4.151489199E0,4.372453277E0
5.800462500E-1,-1.254946526E0,5.253726187E-1,4.461387536E0,4.664213323E0
5.899822500E-1,-6.924945205E-1,8.374586910E-2,4.935796700E0,4.984842134E0
5.999182500E-1,-4.562276857E-1,-1.919102955E-1,5.417027811E0,5.439592224E0
6.098532500E-1,-1.060875539E0,-7.665989158E-1,5.535978304E0,5.688601461E0
6.197892500E-1,-2.264075230E0,-1.465872990E0,5.044481236E0,5.720280694E0
6.297242500E-1,-3.595746435E0,-2.174774213E0,4.702731362E0,6.306720032E0
6.396602500E-1,-4.643430070E0,-2.854686111E0,4.646323273E0,7.162331713E0
