"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.426791660E-3,4.089630336E-2,3.187603766E-1,-2.851540893E-1,4.296435033E-1
1.636179164E-2,-1.322368285E-1,2.891196710E-1,-3.871236831E-1,5.009406242E-1
2.629779166E-2,1.703978044E-1,3.741761935E-1,-5.482635909E-1,6.853000807E-1
3.623279167E-2,4.731321323E-1,4.604278868E-1,-5.239584696E-1,8.428406323E-1
4.616879165E-2,5.983669201E-1,4.605688047E-1,-2.411175388E-1,7.926564593E-1
5.610379166E-2,6.936489071E-1,3.297624975E-1,1.575573188E-1,7.840385321E-1
6.603979165E-2,7.376910125E-1,2.349855638E-1,3.388338679E-1,8.451122027E-1
7.597479166E-2,5.992005868E-1,1.987696642E-1,4.113171226E-1,7.534802572E-1
8.591079165E-2,4.254290852E-1,-2.183642685E-2,2.065201485E-1,4.734102954E-1
9.584579166E-2,2.482667832E-1,3.125863016E-2,-4.973583162E-2,2.551218347E-1
1.057817916E-1,8.140113562E-2,-3.778002977E-2,-1.323143041E-1,1.598766731E-1
1.157177917E-1,-5.355115445E-1,-6.495356119E-1,1.011486447E-1,8.478798109E-1
1.256527916E-1,-5.546357404E-1,-6.700312722E-1,-2.531844378E-3,8.698098185E-1
1.355887917E-1,-1.160833105E-1,-2.492223644E-1,-7.448966825E-1,7.940139731E-1
1.455237917E-1,5.786293513E-1,3.692294490E-1,-1.401996837E0,1.561005267E0
1.554597917E-1,1.003677929E0,9.370174778E-1,-1.564048326E0,2.081254022E0
1.653947917E-1,1.063544208E0,1.147930055E0,-1.385662640E0,2.090198709E0
1.753307917E-1,9.973662981E-1,7.171744484E-1,-1.545444825E0,1.974203239E0
1.852657917E-1,8.175351807E-1,1.095241964E-2,-1.710493011E0,1.895856026E0
1.952017916E-1,3.648946157E-1,-4.070229274E-1,-2.091571258E0,2.161824709E0
2.051377917E-1,-5.602829082E-1,-1.661761147E-1,-2.007815157E0,2.091136806E0
2.150727916E-1,-2.341766746E-1,-5.920840868E-1,-1.961168994E0,2.061937463E0
2.250087917E-1,3.352208003E-1,-6.767909458E-1,-2.447104189E0,2.561003296E0
2.349437916E-1,1.750798892E-1,-3.772202539E-1,-2.148588043E0,2.188464911E0
2.448797917E-1,9.373735001E-1,-5.796233779E-1,-5.263996822E-1,1.221363568E0
2.548147917E-1,9.997562014E-1,3.359172767E-1,1.794756067E-1,1.069843153E0
2.647507917E-1,7.890668419E-1,1.207878926E0,6.113614798E-2,1.444069115E0
2.746857917E-1,1.337604083E0,1.199973490E0,1.167373216E-1,1.800763355E0
2.846217917E-1,1.510232161E0,1.047561429E0,1.046704227E-1,1.840962255E0
2.945577917E-1,1.166778701E0,9.116695055E-1,9.959562421E-3,1.480747452E0
3.044927916E-1,7.551286521E-1,6.317720631E-1,-3.004018736E-1,1.029367042E0
3.144287917E-1,4.410118053E-1,4.868046767E-1,-6.628777885E-1,9.332079983E-1
3.243637916E-1,6.094743640E-1,4.521210399E-1,-5.750356525E-1,9.521231206E-1
3.342997917E-1,1.102813743E0,4.663654420E-1,-1.837510908E-1,1.211387362E0
