"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.862416641E-3,-1.204121651E0,1.344891760E0,-1.435172185E0,2.306157409E0
1.579841666E-2,-1.302354728E0,1.540520884E0,-2.011625787E0,2.848854285E0
2.573341667E-2,-1.237302699E0,1.617715825E0,-2.651845615E0,3.343681747E0
3.566829165E-2,-1.088402183E0,1.584451016E0,-3.169689066E0,3.707024833E0
4.560429166E-2,-7.987835987E-1,1.358454961E0,-3.341926990E0,3.694851976E0
5.553929164E-2,4.103486775E-1,6.394643676E-1,-3.177517903E0,3.267096684E0
6.547429165E-2,1.248013044E0,2.836525244E-1,-2.352558221E0,2.678157108E0
7.541029164E-2,5.937239385E-1,-2.453515077E-1,-5.614619261E-1,8.531969127E-1
8.534529165E-2,-1.248629779E-1,-7.752472401E-1,6.442929983E-1,1.015732501E0
9.528029166E-2,4.869971597E-1,-2.426269975E-1,1.145089477E0,1.267779162E0
1.052162916E-1,7.406707536E-1,4.648562756E-1,1.464064447E0,1.705335517E0
1.151512917E-1,6.143501379E-2,2.260837626E-1,1.533622339E0,1.551414067E0
1.250862917E-1,-3.593481297E-1,-7.696242651E-1,8.820004410E-1,1.224490656E0
1.350222917E-1,-3.084948220E-1,-1.165995320E0,5.951547521E-1,1.344962200E0
1.449572917E-1,4.836707152E-3,-1.140419599E0,9.560150814E-1,1.488134769E0
1.548922916E-1,5.032668545E-1,-1.270590313E0,1.382535549E0,1.943986064E0
1.648272916E-1,9.525168385E-1,-1.271474412E0,1.921554108E0,2.493252033E0
1.747632917E-1,1.369945178E0,-1.485722241E0,2.152078246E0,2.952212924E0
1.846982916E-1,1.483591662E0,-1.965923072E0,1.366071544E0,2.816389392E0
1.946332917E-1,1.605154691E0,-2.557404311E0,3.115642083E-1,3.035442414E0
2.045692916E-1,1.966034900E0,-2.725842714E0,-4.314075708E-2,3.361156476E0
2.145042917E-1,1.704161208E0,-1.756368511E0,-2.886998409E-1,2.464212525E0
2.244392917E-1,8.602345461E-1,-1.493025121E-1,-8.100650704E-1,1.191008032E0
2.343752916E-1,2.147274466E-1,9.105494714E-1,-1.284533876E0,1.589098957E0
2.443102917E-1,-5.653000385E-1,1.278841319E0,-2.451509482E0,2.822215086E0
2.542452917E-1,-1.743762645E0,1.063286053E0,-3.812580487E0,4.325165357E0
2.641812917E-1,-2.338964906E0,5.689440233E-1,-3.542284757E0,4.282783608E0
2.741162917E-1,-1.570957250E0,5.195704266E-1,-1.473372629E0,2.215555690E0
2.840512916E-1,4.431724611E-1,7.118160599E-1,3.128318846E-1,8.949568266E-1
2.939872917E-1,1.930647405E0,4.363002285E-1,6.588356084E-1,2.086102023E0
3.039222916E-1,2.352387190E0,2.757672617E-1,1.594483083E-1,2.373856953E0
3.138572917E-1,1.768736834E0,1.079020618E0,1.727990220E0,2.697900236E0
3.237922917E-1,1.950505134E0,1.669201729E0,3.031539241E0,3.972522481E0
3.337282916E-1,1.935963109E0,1.855527933E0,2.085087866E0,3.396840956E0
3.436632917E-1,1.559701798E0,2.168353094E0,2.031214544E0,3.355630695E0
3.535982917E-1,9.407944867E-1,1.850584112E0,2.062205372E0,2.926165891E0
3.635342917E-1,2.803225350E-1,1.135720191E0,1.600492852E0,1.982427412E0
3.734692917E-1,-1.323137194E-2,3.632451162E-1,6.279020834E-1,7.255226461E-1
3.834042916E-1,8.841583559E-1,1.065196339E0,-5.745485795E-1,1.498827978E0
3.933402917E-1,1.938752377E0,1.921202690E0,-4.673217541E-1,2.769146110E0
4.032752916E-1,2.467743106E0,1.939586921E0,5.508468908E-1,3.186720220E0
4.132102916E-1,2.793927400E0,1.692708120E0,2.405337528E0,4.056715386E0
4.231462917E-1,2.288784540E0,4.744959953E-1,8.280720388E0,8.604301904E0
4.330812916E-1,1.458860279E0,-6.537191485E-1,7.107176605E0,7.284749915E0
4.430162917E-1,8.901559912E-1,-8.103574312E-1,6.666831565E0,6.774636519E0
4.529522916E-1,4.041269477E-1,-5.761802450E-2,7.570485415E0,7.581483222E0
4.628872917E-1,4.139568481E-1,-8.335916349E-1,7.149512785E0,7.209838303E0
4.728222917E-1,5.982059024E-1,-2.002002732E0,6.469393312E0,6.798449460E0
4.827572916E-1,3.792697030E-1,-2.863068094E0,7.342416523E0,7.889999037E0
4.926932917E-1,-3.152395488E-1,-4.007305340E0,8.502473702E0,9.404782354E0
5.026282917E-1,-1.023449996E0,-3.973191514E0,6.162137332E0,7.403082953E0
5.125632916E-1,-1.376193805E0,-3.591601344E0,5.967557198E0,7.099665380E0
5.224992917E-1,-1.510394421E0,-4.479213065E0,4.778988410E0,6.721857720E0
5.324342916E-1,-1.723960172E0,-5.539132876E0,3.628699588E0,6.842623210E0
5.423692917E-1,-2.018540850E0,-6.011741098E0,2.459199155E0,6.801705571E0
5.523052916E-1,-2.472146937E0,-5.756556913E0,1.110236564E0,6.362553198E0
5.622402916E-1,-3.044729390E0,-5.695532447E0,5.543476188E-1,6.482034263E0
5.721752917E-1,-3.394469192E0,-6.147055609E0,6.924541748E-1,7.056075860E0
5.821112916E-1,-3.246428509E0,-6.619701837E0,9.346043319E-1,7.431906602E0
5.920462917E-1,-2.842406958E0,-6.864368636E0,1.237210606E0,7.531900435E0
