"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.602749999E-3,-4.222829908E-1,4.824145871E-1,-2.726264298E0,2.800636317E0
1.253974999E-2,-4.550233054E-1,1.971359521E-1,-3.175998212E0,3.214478719E0
2.247575000E-2,-4.781586912E-1,2.023016748E-1,-3.312010880E0,3.352458467E0
3.241175000E-2,-5.573147884E-1,3.899484730E-1,-3.197413639E0,3.268962154E0
4.234775000E-2,-5.038715297E-1,3.759253880E-1,-3.664307962E0,3.717843361E0
5.228375000E-2,-2.515095028E-1,3.802081811E-1,-4.268752186E0,4.293024635E0
6.221975001E-2,-1.816291362E-2,2.167475134E-1,-4.259532296E0,4.265082034E0
7.215574999E-2,8.484806925E-2,-9.748711824E-2,-3.400479838E0,3.402934918E0
8.209175000E-2,-1.889406408E-1,9.183110654E-2,-2.303086683E0,2.312647787E0
9.202775000E-2,6.800570543E-1,-1.558610415E-1,-1.603129946E0,1.748369493E0
1.019637500E-1,1.203671561E0,-7.399769814E-1,-6.839377052E-1,1.569764933E0
1.119007500E-1,1.299903136E0,-1.453378952E0,-9.229829907E-3,1.949908647E0
1.218367500E-1,1.075443876E0,-1.752763995E0,5.438904583E-2,2.057114319E0
1.317727500E-1,-1.091474895E-1,-7.317949726E-1,-4.267531872E-2,7.411195849E-1
1.417087500E-1,-6.565163103E-1,-1.411533938E0,-3.446916085E-1,1.594444740E0
1.516447500E-1,-9.844620779E-2,-2.983305267E0,-1.000958535E0,3.148288417E0
1.615807500E-1,4.818002640E-1,-3.140736578E0,-8.914512956E-1,3.300158051E0
1.715167500E-1,2.698332880E-1,-1.648031007E0,-5.418357468E-1,1.755677129E0
1.814527500E-1,1.735300847E-1,9.499235983E-1,1.711082996E0,1.964757632E0
1.913887500E-1,1.115522300E0,2.127271433E0,1.969908827E0,3.106479445E0
2.013247500E-1,2.255294758E0,1.935150054E0,1.371955013E0,3.273136223E0
2.112617500E-1,2.761294090E0,1.886372727E0,1.835027595E0,3.814508276E0
2.211977500E-1,2.120312370E0,1.706769943E0,2.031357801E0,3.396351380E0
2.311337500E-1,1.537964189E0,1.155819776E0,1.619276447E0,2.514619139E0
2.410697500E-1,1.098371832E0,9.879440948E-1,1.309610830E0,1.974217501E0
2.510057500E-1,2.336351493E-1,1.115147494E0,1.452453046E0,1.846011692E0
2.609417500E-1,-2.767658199E-1,1.419014574E0,1.942383644E0,2.421374795E0
2.708777500E-1,2.383250548E-1,1.995437770E0,2.237058170E0,3.007158124E0
2.808137500E-1,1.567123961E0,3.012774064E0,2.073302218E0,3.978852493E0
2.907497500E-1,2.781183686E0,4.018446332E0,2.091694050E0,5.315832731E0
3.006857500E-1,3.260806813E0,4.054800226E0,1.899408363E0,5.539135138E0
3.106227500E-1,2.462157846E0,3.314635695E0,4.065814626E-1,4.149016695E0
3.205587500E-1,8.297193164E-1,2.874999923E0,8.223793066E-1,3.103283168E0
3.304947500E-1,9.684997639E-1,2.665807012E0,2.145610056E0,3.556425358E0
3.404307500E-1,1.567627991E0,2.642293896E0,3.079337890E0,4.349884641E0
3.503667500E-1,2.115227046E0,2.846430427E0,3.622324954E0,5.069279012E0
3.603027500E-1,2.653687195E0,2.739182844E0,3.448950917E0,5.142026916E0
3.702387500E-1,3.186653301E0,2.335745721E0,3.194838526E0,5.081088519E0
3.801747500E-1,3.926418759E0,2.186888767E0,3.415319486E0,5.644789982E0
3.901107500E-1,4.708221897E0,1.970781962E0,4.648599594E0,6.903681131E0
4.000477500E-1,5.826581998E0,2.075235892E0,7.033920933E0,9.366520457E0
4.099837500E-1,6.526265085E0,2.107111403E0,8.842346036E0,1.119013574E1
4.199197500E-1,6.259145563E0,1.615494614E0,9.877825363E0,1.180500571E1
4.298557500E-1,6.077408838E0,6.840751147E-1,1.104018401E1,1.262095558E1
4.397917500E-1,6.446192145E0,-3.050337455E-1,1.151125675E1,1.319679774E1
4.497277500E-1,7.612936200E0,-1.057580925E0,1.170206543E1,1.400048607E1
4.596637500E-1,9.419133514E0,-1.715686216E0,1.233772560E1,1.561675793E1
4.695997500E-1,1.082777337E1,-2.243619623E0,1.312502395E1,1.716218981E1
4.795357500E-1,1.110240072E1,-3.072425312E0,1.344839953E1,1.770769745E1
4.894717500E-1,1.127129871E1,-4.417850630E0,1.302047573E1,1.777898668E1
4.994087500E-1,1.132138830E1,-5.650652727E0,1.225974479E1,1.761831580E1
5.093447500E-1,1.113184730E1,-6.444552001E0,1.124695792E1,1.708637871E1
5.192807500E-1,1.071891693E1,-7.016948805E0,1.019834984E1,1.637495314E1
5.292166250E-1,1.105686728E1,-8.082157130E0,9.093302100E0,1.643969954E1
5.391526250E-1,1.078938056E1,-9.190793896E0,8.225679962E0,1.638728886E1
5.490886250E-1,1.011939489E1,-1.002916183E1,7.545141828E0,1.612189211E1
5.590246250E-1,9.778542565E0,-1.116505481E1,6.708133373E0,1.628733854E1
5.689606250E-1,8.902275903E0,-1.214703503E1,5.703599850E0,1.610378923E1
5.788966250E-1,7.565564983E0,-1.276620956E1,4.566504101E0,1.552632731E1
5.888326250E-1,6.121455329E0,-1.354909093E1,3.421740898E0,1.525642131E1
5.987696250E-1,4.571067561E0,-1.436571073E1,2.472643658E0,1.527685406E1
6.087056250E-1,2.686315828E0,-1.492304393E1,1.581564538E0,1.524515921E1
6.186416250E-1,9.208016869E-1,-1.543249897E1,5.235149583E-1,1.546880629E1
6.285776250E-1,-3.318645716E-1,-1.577971248E1,-4.727295515E-1,1.579027971E1
6.385136250E-1,-1.464031118E0,-1.581325094E1,-1.138593221E0,1.592164209E1
6.484496250E-1,-2.790902928E0,-1.566198815E1,-1.526936633E0,1.598181928E1
6.583856250E-1,-4.130323741E0,-1.544002434E1,-1.788879615E0,1.608272415E1
6.683216250E-1,-5.182885416E0,-1.505217618E1,-2.028718368E0,1.604824001E1
6.782576250E-1,-6.269945371E0,-1.435787078E1,-2.334172236E0,1.584010822E1
6.881936250E-1,-7.178455918E0,-1.365645516E1,-2.628920437E0,1.565056611E1
6.981306250E-1,-7.780191711E0,-1.301503315E1,-2.779989685E0,1.541592727E1
7.080666250E-1,-8.299572980E0,-1.257860749E1,-2.847170684E0,1.533657912E1
7.180026250E-1,-8.811394385E0,-1.228325294E1,-2.783414984E0,1.537095874E1
7.279386250E-1,-9.373503013E0,-1.192375910E1,-2.594823568E0,1.538738767E1
7.378746250E-1,-9.607837197E0,-1.157436224E1,-2.256821759E0,1.521083960E1
7.478106250E-1,-9.651665002E0,-1.125753671E1,-2.002736850E0,1.496321239E1
7.577466250E-1,-9.731927977E0,-1.072689136E1,-1.846927118E0,1.460095066E1
7.676826250E-1,-9.701987894E0,-1.012891884E1,-1.748014594E0,1.413432421E1
7.776196250E-1,-9.560185897E0,-9.902729824E0,-1.566753248E0,1.385337244E1
7.875556250E-1,-9.248525795E0,-9.970356381E0,-1.260684253E0,1.365769236E1
7.974916250E-1,-8.850999330E0,-9.993551116E0,-8.898701354E-1,1.337920483E1
8.074276250E-1,-8.511935667E0,-9.872188647E0,-5.416636924E-1,1.304632351E1
8.173636250E-1,-8.016469510E0,-9.922046685E0,-2.581652422E-1,1.275842636E1
8.272996250E-1,-7.462462199E0,-1.015352626E1,-1.019286633E-1,1.260130259E1
8.372356250E-1,-7.135636758E0,-1.037310207E1,-1.719432235E-2,1.259042708E1
8.471716250E-1,-6.913708611E0,-1.052182366E1,-1.046615057E-1,1.259043661E1
8.571076250E-1,-6.543827198E0,-1.068226190E1,-2.329892512E-1,1.252943246E1
8.670436250E-1,-6.169982541E0,-1.098752866E1,-4.423617446E-1,1.260912981E1
8.769806250E-1,-5.833436104E0,-1.145129706E1,-6.030466660E-1,1.286564598E1
8.869166250E-1,-5.559067789E0,-1.194418226E1,-6.561721285E-1,1.319080310E1
8.968526250E-1,-5.383792822E0,-1.235405687E1,-4.856743733E-1,1.348494813E1
9.067886250E-1,-5.151895173E0,-1.286864810E1,-1.392174904E-1,1.386230534E1
9.167246250E-1,-4.825357707E0,-1.359920507E1,3.979743612E-1,1.443540229E1
9.266606250E-1,-4.527073987E0,-1.430980199E1,8.848024267E-1,1.503488301E1
9.365966250E-1,-4.177678001E0,-1.504719786E1,1.158590114E0,1.565929398E1
9.465326250E-1,-3.583369049E0,-1.572810963E1,1.280220385E0,1.618187043E1
9.564686250E-1,-2.645256972E0,-1.623649463E1,1.313738379E0,1.650294067E1
9.664046250E-1,-1.499916065E0,-1.662211149E1,1.146754618E0,1.672899831E1
9.763416250E-1,-4.708809543E-1,-1.693500535E1,9.249125719E-1,1.696677926E1
9.862776250E-1,6.082805818E-1,-1.696727964E1,9.737172344E-1,1.700607859E1
9.962136250E-1,1.849864905E0,-1.675158989E1,1.087935283E0,1.688849807E1
1.006149625E0,3.236168985E0,-1.641049490E1,1.767864430E0,1.681970503E1
1.016085625E0,4.942003520E0,-1.595221704E1,3.653684448E0,1.709520510E1
1.026021625E0,7.158141521E0,-1.494144746E1,5.916022178E0,1.759219033E1
1.035957625E0,9.448415201E0,-1.308109382E1,7.453631734E0,1.777481902E1
1.045893625E0,1.147689617E1,-1.101982868E1,7.945722878E0,1.778455178E1
1.055829625E0,1.297901079E1,-9.299229925E0,7.317334306E0,1.756342164E1
1.065766625E0,1.449704854E1,-7.951139154E0,5.385773274E0,1.738941011E1
1.075702625E0,1.573407379E1,-6.333678852E0,3.050814003E0,1.723322466E1
1.085638625E0,1.673242973E1,-4.325449128E0,2.445641216E0,1.745465198E1
1.095574625E0,1.803508998E1,-2.581624940E0,4.307336208E0,1.872117526E1
1.105510625E0,1.856347362E1,-1.004419502E0,6.464828975E0,1.968261733E1
1.115446625E0,1.870592700E1,1.958928341E-1,7.412314723E0,2.012194047E1
1.125382625E0,1.895861325E1,1.198423685E0,8.082430780E0,2.064439205E1
1.135318625E0,1.943880180E1,2.467438467E0,9.459872235E0,2.175877871E1
1.145254625E0,1.971036287E1,3.785304396E0,1.072612304E1,2.275690333E1
1.155191625E0,1.971038158E1,4.748602184E0,1.140030583E1,2.325973641E1
1.165127625E0,1.972085278E1,5.309663576E0,1.119624853E1,2.329078235E1
1.175063625E0,1.970979218E1,5.586523390E0,1.067781451E1,2.310196689E1
1.184999625E0,1.951701650E1,5.881624178E0,1.114456031E1,2.323163061E1
1.194935625E0,1.913298073E1,6.070875744E0,1.172791948E1,2.324802313E1
1.204871625E0,1.863034004E1,5.939611600E0,1.175738828E1,2.281676434E1
1.214807625E0,1.796576539E1,5.518363566E0,1.143557624E1,2.199985151E1
1.224743625E0,1.716045761E1,4.598581049E0,1.095856389E1,2.087386825E1
1.234679625E0,1.596415237E1,3.418905584E0,1.059027351E1,1.946013796E1
1.244615625E0,1.455646795E1,2.354530486E0,1.029159305E1,1.798197599E1
1.254552625E0,1.315806540E1,1.242623958E0,9.789555795E0,1.644731595E1
1.264488625E0,1.184766578E1,-1.286209103E-1,9.111433731E0,1.494663682E1
