"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.774404164E-2,3.872377038E-1,1.375938721E0,1.567457253E0,2.121339822E0
3.770204168E-2,5.933277896E-1,1.613536820E0,1.540272962E0,2.308241698E0
4.766104172E-2,7.918264353E-1,1.971972309E0,1.373721457E0,2.530370434E0
5.761904165E-2,9.996481740E-1,2.363429949E0,1.071962444E0,2.781043163E0
6.757704169E-2,1.351371059E0,2.811234282E0,3.935550356E-1,3.143903226E0
7.753504172E-2,1.363674771E0,2.817255744E0,6.392714095E-1,3.194558928E0
8.749404165E-2,1.239855301E0,2.550553713E0,1.044618233E0,3.022216515E0
9.745204169E-2,1.155263633E0,2.258658954E0,1.176438739E0,2.796458910E0
1.074100417E-1,1.141216574E0,2.070212549E0,1.158353886E0,2.632477729E0
1.173680417E-1,1.088793362E0,2.144488560E0,1.141955077E0,2.662398086E0
1.273270417E-1,1.114967546E0,2.455555755E0,1.042630179E0,2.891363759E0
1.372850416E-1,1.194472137E0,2.755915529E0,7.069891834E-1,3.085719980E0
1.472430417E-1,1.327756787E0,2.987002169E0,3.891047198E-1,3.291887380E0
1.572010417E-1,1.569783275E0,3.054164457E0,4.002822572E-1,3.457219396E0
1.671600416E-1,1.923591278E0,2.829196928E0,6.167333168E-1,3.476336958E0
1.771180417E-1,2.077287095E0,2.674654434E0,1.099751337E0,3.560667215E0
1.870760417E-1,2.080608021E0,2.460288491E0,1.532778879E0,3.568103178E0
1.970340416E-1,1.912023146E0,2.372844551E0,1.606033673E0,3.444643368E0
2.069930417E-1,1.778442627E0,2.491410881E0,1.243223882E0,3.303875297E0
2.169510417E-1,1.677738664E0,2.547515500E0,6.660399628E-1,3.122218999E0
2.269090416E-1,1.689780712E0,2.554224011E0,3.141331825E-1,3.078652109E0
2.368670417E-1,1.923302133E0,2.339480338E0,1.602066922E-1,3.032808192E0
2.468260417E-1,2.085945652E0,2.072084827E0,1.748314556E-1,2.945381271E0
2.567840416E-1,2.140148172E0,1.816160384E0,3.593228039E-1,2.829803106E0
2.667420417E-1,2.078907066E0,1.639190894E0,6.495996389E-1,2.725945904E0
2.767000417E-1,2.024400491E0,1.547951526E0,8.075149535E-1,2.673281070E0
2.866590417E-1,1.916505622E0,1.400171921E0,7.272930551E-1,2.482424298E0
2.966170417E-1,1.790491400E0,1.178717399E0,4.786692993E-1,2.196442228E0
3.065750417E-1,1.562299424E0,8.146966499E-1,3.096730725E-1,1.788968287E0
3.165340417E-1,1.457478728E0,4.298229754E-1,4.029890795E-1,1.572066230E0
3.264920417E-1,1.364397779E0,-5.410019338E-2,6.280039711E-1,1.502962780E0
3.364500416E-1,1.365857244E0,-6.266846931E-1,7.972042657E-1,1.701127378E0
3.464080417E-1,1.361520364E0,-1.191524556E0,8.550038463E-1,2.001124695E0
3.563670417E-1,1.151458557E0,-1.583290343E0,7.062296301E-1,2.081207681E0
3.663250416E-1,8.182309994E-1,-1.849477234E0,4.495759662E-1,2.071759291E0
3.762830417E-1,5.145833364E-1,-2.087544866E0,2.791120883E-1,2.168073600E0
3.862410417E-1,3.420293713E-1,-2.308145694E0,3.073881269E-1,2.353509740E0
3.962000416E-1,2.341877112E-1,-2.537472907E0,4.146623147E-1,2.581774094E0
4.061580417E-1,1.689684525E-1,-2.948222850E0,4.336318517E-1,2.984728613E0
4.161160417E-1,7.723177850E-2,-3.524202243E0,3.660718795E-1,3.544005477E0
4.260740416E-1,-2.453306039E-1,-4.127831950E0,2.840699790E-1,4.144861815E0
